t,current_set,current,power,shuitong_temp,servers_temp,env_temp
0,1.25,0,0,28.8,31.3,24.8
5,1.25,1.25,3.45,28.8,31.3,24.8
10,1.25,1.23,3.39,28.8,34.5,24.8
15,1.25,1.26,3.47,28.8,34.5,24.8
20,1.25,1.25,3.58,28.8,34.5,24.8
25,0,0.85,0.66,28.8,34.5,24.8
30,0,0.01,0,28.8,37.5,24.7
35,0,0.02,0,28.8,37.5,24.7
40,0,0.03,0.01,28.8,37.5,24.7
45,0,0,0,28.8,39.2,24.7
50,1.25,0,0,28.8,39.2,24.7
55,1.25,1.25,3.52,28.8,40.4,24.7
60,1.25,1.23,3.46,28.8,40.4,24.7
65,1.25,1.25,3.61,28.8,40.4,24.7
70,1.25,1.24,3.58,28.8,40.4,24.7
75,1.25,1.24,3.58,28.8,41.6,24.7
80,1.25,1.23,3.55,28.8,41.6,24.7
85,1.25,1.22,3.52,28.8,42.4,24.7
90,1.25,1.22,3.52,28.8,42.4,24.7
